PORT,說明,測試指令
21,FTP（File Transfer Protocol）控制通道的預設連接埠，主要用來建立連線、驗證帳號密碼，以及傳送 FTP 指令。,"1. FTP匿名登入測試：使用者名稱輸入「anonymous」，密碼不用提供(直接按enter)，若登入成功代表允許匿名登入，可用ls列舉檔案並截圖。
2. hydra -L <帳號字典檔> -P <密碼字典檔> ftp://<IP> -t 3 -v"
22,SSH是一種網路協定，它提供了在潛在不安全的網路上安全存取系統或伺服器的方式。它允許您透過加密保護客戶端和伺服器之間傳輸的數據，從而安全地登錄和管理遠端機器。,"hydra -v -V -u -l root -P {Big_Passwordlist} -t 1 -u <IP> ssh
1.nmap -sV -p 22 --script ssh2-enum-algos <IP>
2.msf> use auxiliary/scanner/ssh/ssh_login"
25,用於電子郵件發送的協定，它使電子郵件能夠在不同的郵件伺服器之間進行傳遞和路由。,"1.nmap -p25 --script smtp-commands <IP>
2.nmap --script=smtp-commands,smtp-enum-users,smtp-vuln-cve2010-4344,smtp-vuln-cve2011-1720,smtp-vuln-cve2011-1764 -p 25 {IP}
3.nc -nvc <IP>
4.msf6> use auxiliary/scanner/smtp/smtp_enum
5.smtp-user-enum -M VRFY -U <帳號清單檔> -t <IP>"
53,DNS（Domain Name System）的預設通訊埠，用於域名解析，將人類可讀的域名轉換為IP地址，實現網際網路上的資源定位。,"dnsrecon -d <target> -a
nmap --script dns-nsid <target> -p 53"
110,用於郵件服務中的POP3（Post Office Protocol version 3），負責接收郵件客戶端的請求，提供用戶檢索和下載郵件的通道。,"1.nc -ncv <ip> <port>
2.msf6> use auxiliary/sanner/pop3/pop3_login"
135,Windows操作系統中的DCE/RPC服務點，用於處理分散式計算環境中的遠端程序呼叫，像是系統內不同部分之間的通訊樞紐。,"1.nmap --script=msrpc-enum <IP>
2.msf6>use auxiliary/scanner/dcerpc/management
3.msf6>use auxiliary/scanner/dcerpc/hidden"
139,用於Windows檔案和印表機分享的NetBIOS Session服務通訊埠，實現在區域網路內共享檔案和資源的功能，像是一個共享之門。,nbtscan-unixwiz -n <IP>
443,HTTPS的預設通訊埠，用於安全瀏覽器和網站之間的加密數據傳輸，確保用戶在網際網路上的隱私和安全。,"1.sslscan <ip>or<ip:port>
2.nmap -p 443,8443 -Pn --script ssl-cert  <IP> ->SSL憑證資訊
3.nmap -sV --script ssl-enum-ciphers -p 443 <ip>"
445,SMB(Server Message Block)通訊協定使用的埠，負責檔案共享與網路資源存取。,"1.nmap --script smb-os-discovery,smb-protocols <ip>
2.smbclient -N -L //<IP>
3.smbmap -H <IP>
關於第1項，經3次循環實測，若使用smb-os-discovery,smb-protocols，可能會偵測不到「NT LM 0.12 (SMBv1) [dangerous, but default]」，原因未知，可考慮單獨執行smb-protocols。"
RPC PORT,Remote Procedure Call (RPC) 使用動態指定的 port，通常在範圍 49152 到 65535 之間。RPC允許程式在網路上的不同系統上執行程序，實現遠端過程調用。,"1.rpcclient -U """" -N <IP>
2.impacket工具
rpcdump.py user:passwd@<IP>"
1433,Microsoft SQL Server的預設通訊埠，用於處理資料庫連接和查詢，允許應用程式與SQL Server之間的可靠通訊。,msf6> use auxiliary/scanner/mysql/mssql_login
